0001-@	日	日	rì	Sonne, Tag, Datum, Japan	Sonne			Bild einer 日 Sonne, früher rund mit Punkt, jetzt eckig.	生日 = shēng rì = Geburtstag // 節日 = jié rì = Fest, Feiertag // 日記 = rì jì = Tagebuch
0910-@	點	点	diǎn	Uhrzeit, Punkt, anzünden, ein bißchen, aussuchen, andeuten	Punkt/bißchen/anzünden	schwarz (黑) + Weissagung/besetzen (占)	schwarz + Weissagung/besetzen	Etwas 黑 schwarze Tinte 占 besetzt eine kleine Stelle auf dem Papier: ein 點 Punkt, ein 點 bißchen. Man sagt bei uns auch "Punkt 10": 10 點 Uhr. Viele weitere Bedeutungen: anzünden, bestellen, ...	缺點 = quē diǎn = Fehler, Schwäche, Nachteil // 特點 = tè diǎn = Merkmal, Besonderheit // 優點 = yōu diǎn = Vorteil
0911-@	店	店	diàn	Laden, Geschäft	Laden	Schutzdach* (广) + Weissagung/besetzen (占)	Schutzdach* + Weissagung/besetzen	Ein 店 Laden ist ein 占 besetzter Ort (z. B. auf einem Markt), und oft unter einem 广 Schutzdach.	商店 = shāng diàn = Geschäft, Laden // 飯店 = fàn diàn = Hotel, Restaurant // 書店 = shū diàn = Buchhandlung
0912-@	貼	贴	tiē	kleben, aufkleben, sich anlehnen	aufkleben/anlehnen	Muschel/Geld (貝) + Weissagung/besetzen (占)	Muschel/Geld + Weissagung/besetzen	In einer eng 占 besetzten 貝 Muschel 貼 klebt alles aneinander.	貼心 = tiē xīn = intim, nahe // 貼身 = tiē shēn = hautnah // 貼近 = tiē jìn = nahe heranrücken
0913-@	粘	粘	1) nián / 2) zhān	1) kleben, haften / 2) kleben, haften	kleben/haften	Reis/Meter (米) + Weissagung/besetzen (占)	Reis/Meter + Weissagung/besetzen	Gekochter 米 Reis in China ist nie "feinkörnig" wie bei uns, nein: er 占 besetzt alles bzw. 粘 klebt an allem, mit dem er in Berührung kommt. Wie sollte man ihn sonst mit Stäbchen zum Mund führen?	粘貼 = nián tiē = kleben, haften
0914-@	黏	黏	nián	klebrig	klebrig	Getreide* (禾) + hinein (入) + Wasser (水氵) + Weissagung/besetzen (占)	Getreide* + hinein + Wasser + Weissagung/besetzen	水 Wasser geht (z. B. beim Kochen) in 禾 Getreide 入 hinein, und wie bei gekochtem 米 Reis 占 besetzt es alles bzw. 黏 klebt an allem. (黏 ist ein Alternativzeichen zu 粘 nián.)	黏性 = nián xìng = Viskosität // 黏土 = nián tǔ = Lehm // 黏貼 = nián tiē = kleben, haften
0915-@	竟	竟	jìng	vollenden, während, hindurch, unerwartet	vollenden/unerwartet	Klang (音) + Beinchen* (儿)	Klang + Beinchen*	Der 音 Klang der Stimme eines Menschen (nur die 儿 Beine werden gezeigt) zeigt  das 竟 Ende einer Rede oder etwas 竟 Unerwartetes an.	竟然 = jìng rán = unerwartet, sogar // 究竟 = jiū jìng = schließlich // 有志者事竟成 = yǒu zhì zhě shì jìng chéng = wo ein Wille ist, ist auch ein Weg
0916-@	境	境	jìng	Grenze, Gebiet, Lage	Grenze/Territorium	Erde (土) + vollenden/unerwartet (竟)	Erde + vollenden/unerwartet	Das eigene 境 Territorium, die 土 Erde, die einem gehört, ist irgendwo "zu 竟 Ende" und man landet an 竟 unerwartet an einer 境 Grenze.	環境 = huán jìng = Umwelt // 出境 = chū jìng = ausreisen // 入境 = rù jìng = einreisen
0917-@	鏡	镜	jìng	Spiegel	Spiegel/Linse	Gold/Metall (金) + vollenden/unerwartet (竟)	Gold/Metall + vollenden/unerwartet	Ein 鏡 Spiegel war früher ein "竟 vollendet" geglättetes Stück 金 Metall. In der Bedeutung erweitert auf 鏡 Linse, usw.	眼鏡 = yǎn jìng = Brille // 鏡子 = jìng zi = Spiegel, Brille // 太陽鏡 = tài yáng jìng = Sonnenbrille
0918-1	岡				Bergrücken*			Ein 网 Netz von Wolken über den 山 Bergen: Sinnbild für einen 岡 Bergrücken oder Grat.	
0918-@	剛	刚	gāng	stark, hart, gerade, eben	fest/soeben	Bergrücken* (岡) + Messer (刀刂)	Bergrücken* + Messer	Der 岡 Bergrücken eines 刂 Messers ist seine Schneide: Sinnbild für einen 剛 festen, harten Gegenstand, der alles Weiche zerlegen kann. 剛 Soeben war etwas noch ganz, nun ist es zerschnitten.	剛才 = gāng cái = soeben, eben, gerade // 剛剛 = gāng gāng = gerade, eben // 剛好 = gāng hǎo = eben, gerade
0919-@	鋼	钢	gāng	Stahl	Stahl	Gold/Metall (金) + Bergrücken* (岡)	Gold/Metall + Bergrücken*	鋼 Stahl ist ein hartes 金 Metall, hart wie ein 岡 Bergrücken.	彈鋼琴 = tán gāng qín = Klavier spielen // 鋼筆 = gāng bǐ = Federhalter, Füller, Füllfederhalter // 鋼琴 = gāng qín = Klavier, Piano
0920-@	綱	纲	gāng	(Hauptteil, Programm)	Hauptleine/Leitprinzip	Seide* (糸) + Bergrücken* (岡)	Seide* + Bergrücken*	Die 綱 Hauptleine eines Netzes zum Fischfang: 糸 seidenähnlich, jedoch sehr fest (wie ein 岡 Bergrücken). Heute verwendet in abstrakten Begriffen: 綱 Leitprinzip, Programm, Grundsatz, Abriß.	大綱 = dà gāng = Überblick; Synopse, Zusammenfassung // 提綱 = tí gāng = These, Grundkonzept // 綱領 = gāng lǐng = Leitprinzip, Programm
0921-@	崗	岗	gǎng	Hügel, Wache	Hügel/Wache	Berg (山) + Bergrücken* (岡)	Berg + Bergrücken*	山 Berg und 岡 Bergrücken in einem Zeichen: ein 崗 Erdhügel, eine Erhebung, wo man gut 崗 Wache halten kann.	站崗 = zhàn gǎng = Wachdienst // 崗位 = gǎng wèi = Posten, Stellung
0922-@	刷	刷	shuā	bürsten, putzen; Bürste	bürsten	Leiche/Körper* (尸) + Tuch (巾) + Messer (刀刂)	Leiche/Körper* + Tuch + Messer	Den 尸 Körper oder ein 巾 Tuch mit einem 刂 Messer abkratzen, abschaben - heute: 刷 abbürsten.	刷牙 = shuā yá = Zähne putzen // 牙刷 = yá shuā = Zahnbürste // 印刷 = yìn shuā = drucken
0923-@	膏	膏	gāo	(Creme, Salbe, Paste)	Creme/Paste	hoch (高) + Fleisch (肉月)	hoch + Fleisch	Eine liegende dicke Person hat einen dicken Bauch, also 高 hohes 月 Fleisch bzw. Fett. 膏 Cremes, Salben und Pasten bestehen oft aus Fett und sind in (senkrechten) Tuben auch 高 hoch.	牙膏 = yá gāo = Zahnpasta // 一筒牙膏 = yī tǒng yá gāo = eine Tube Zahnpasta // 油膏 = yóu gāo = Heilsalbe, Wundsalbe, Balsam
0924-@	毫	毫	háo	im geringsten, Kleinst-, Milli-	feines-Härchen/milli-	hoch (高) + Haare (毛)	hoch + Haare	高 Hohe (高 unten reduziert) bzw. lange 毛 Haare sind fein und dünn: Zeichen für etwas 毫 sehr Kleines, 1/1000, Milli-.	毫不 = háo bù = nicht im geringsten // 毫無 = háo wú = überhaupt nicht, nicht die Bohne // 毫升 = háo shēng = Milliliter
0925-@	童	童	tóng	(Kind)	Kinder	bitter/hart (辛) + schwer/wiederholen/Schicht (重)	bitter/hart + schwer/wiederholen/Schicht	童 Kinder-Sklaven mußten schwere 重 Gewichte tragen und hatten ein 辛 bitteres, hartes Leben. Heute Zeichen für 童 Kinder (beide Komponenten heute gekürzt).	兒童 = ér tóng = Kind // 童年 = tóng nián = Kindheit // 童話 = tóng huà = Märchen
0926-@	鐘	钟	zhōng	Glocke, Uhr, Uhrzeit	Glocke/Uhr	Gold/Metall (金) + Kinder (童)	Gold/Metall + Kinder	Eine 鐘 Glocke ist aus 金 Metall und wurde früher von Dienern im 童 Kinder- oder Jugendalter geläutet.	分鐘 = fēn zhōng = Minute // 點鐘 = diǎn zhōng = ... Uhr, [Uhrzeitangabe, Langform] // 鐘頭 = zhōng tóu = Stunde
0927-@	撞	撞	zhuàng	zusammenstoßen	zusammenstoßen	Hand (手扌) + Kinder (童)	Hand + Kinder	童 Kinder schubsen einander gern mit den 扌 Händen, so daß sie manchmal dabei 撞 zusammenstoßen.	衝撞 = chōng zhuàng = zusammenstoßen, anstoßen; Zusammenstoß, Aufprall // 碰撞 = pèng zhuàng = zusammenstoßen, kollidieren
0928-1	僉				alle/zusammen*			Mehrere 人人 Personen versammeln (人 plus 一) sich und reden (mehrere 口口 Münder): 僉 alle, 僉 zusammen.	
0928-@	臉	脸	liǎn	Gesicht	Gesicht	Fleisch (肉月) + alle/zusammen* (僉)	Fleisch + alle/zusammen*	Das 臉 Gesicht ist der Teil des Körpers aus 月 Fleisch und Knochen, der 僉 alles zusammen repräsentiert.	滿臉通紅 = mǎn liǎn tōng hóng = das ganze Gesicht ist rot [Redensart] // 臉色 = liǎn sè = Gesichtsfarbe // 臉型 = liǎn xíng = Gesichtsform
0929-@	劍	剑	jiàn	Schwert	Schwert	alle/zusammen* (僉) + Messer (刀刂)	alle/zusammen* + Messer	Ein 劍 Schwert ist eine Art 刂 Messer, das früher 僉 alle trugen.	舞劍 = wǔ jiàn = mit dem Schwert tanzen
0930-@	險	险	xiǎn	enger Paß, Gefahr, hinterhältig	Gefahr/Engpaß	Hügel* (阜阝 (li)) + alle/zusammen* (僉)	Hügel* + alle/zusammen*	阝 Hügel, die dicht 僉 zusammen -stehen, bilden einen 險 Engpaß und sind damit eine 險 Gefahr.	危險 = wēi xiǎn = gefährlich (sein); Gefahr // 保險 = bǎo xiǎn = Versicherung; versichern // 保險套 = bǎo xiǎn tào = Kondom
0931-@	簽	签	qiān	(unterschreiben, unterzeichnen)	unterzeichnen	Bambus (竹) + alle/zusammen* (僉)	Bambus + alle/zusammen*	Man kommt 僉 zusammen, um Beschlüsse auf 竹 Bambus- Streifen niederzuschreiben und zu 簽 unterzeichnen.	簽證 = qiān zhèng = Visum // 簽訂 = qiān dìng = (einen Vertrag) unterzeichnen // 簽名 = qiān míng = Unterschrift, Autogramm
0932-@	檢	检	jiǎn	prüfen, untersuchen	prüfen	Baum/Holz (木) + alle/zusammen* (僉)	Baum/Holz + alle/zusammen*	僉 Alle Experten kommen 僉 zusammen um einen 木 Baum zu 檢 prüfen, ob er als Balken für ein Gebäude geeignet ist.	檢查 = jiǎn chá = untersuchen; Untersuchung // 安全檢查 = ān quán jiǎn chá = Sicherheitscheck, Sicherheitskontrolle // 檢討 = jiǎn tǎo = Selbstkritik, untersuchen
0933-@	驗	验	yàn	(prüfen)	kontrollieren	Pferd (馬) + alle/zusammen* (僉)	Pferd + alle/zusammen*	Zu diesem Zeichen gibt es eine Redewendung (指鹿為馬 zhǐlùwéimǎ) und folgende Geschichte: Nach dem Tod des ersten Kaisers von China 秦始皇 (Qín Shǐ Huáng) wollte der Obereunuch 趙高 (Zhào Gāo) vollständig die Regierung kontrollieren. Um die Loyalität der Beamten zu kontrollieren, brachte er ein Reh herein und nannte es ein Pferd. Natürlich sagte der zweite Kaiser Qín Èr Shì (秦二世), daß dies nicht stimme. Einige Beamte nannten das Reh ebenfalls ein Pferd; einige nicht (diese wurde dann von Zhào Gāo eliminiert). Zusammengefaßt: Um die Loyalität zu 驗 kontrollieren, sagen 僉 alle Anwesenden: das ist ein 馬 Pferd - oder nicht.	經驗 = jīng yàn = Erfahrung, Fähigkeiten // 測驗 = cè yàn = Test, Quiz // 試驗 = shì yàn = Experiment, Test, Versuch
0934-@	牙	牙	yá	Zahn	Zahn			Bild eines 牙 Backenzahns, dabei sind zwei Wurzeln zu sehen.	刷牙 = shuā yá = Zähne putzen // 牙膏 = yá gāo = Zahnpasta // 牙刷 = yá shuā = Zahnbürste
0935-@	穿	穿	chuān	anziehen, tragen [von Kleidung]; überqueren	hindurchgehen/anziehen	Höhle* (穴) + Zahn (牙)	Höhle* + Zahn	Wenn man mit einem 牙 Zahn-ähnlichen Gegenstand etwas bohrt, entsteht zuerst ein Hohlraum (= 穴 Höhle), dann 穿 geht der Bohrer hindurch. Erweitert auf das 穿 Anziehen von Kleidung, dabei gehen z. B. die Arme durch die Ärmel.	穿上 = chuān shàng = anziehen [Kleidung, usw.] // 穿行 = chuān xíng = Durchmarsch; durchfahren, durchgehen // 試穿間 = shì chuān jiān = Anprobekabine
0936-@	雅	雅	yǎ	(elegant)	kultiviert/elegant	Zahn (牙) + kleiner-Vogel* (隹)	Zahn + kleiner-Vogel*	Eine 雅 elegante, 雅 kultivierte Dame kleidet sich ein hübscher 隹 Vogel und zeigt beim Lächeln ihre schönen 牙 Zähne.	文雅 = wén yǎ = raffiniert, verfeinert, anmutig, taktvoll // 喜馬拉雅山 = xǐ mǎ lā yǎ shān = Himalaya // 雅致 = yǎ zhì = vornehm, elegant, geschmackvoll
0937-@	芽	芽	yá	Sproß, Knospe	Knospe	Pflanzen/Gras* (艸艹) + Zahn (牙)	Pflanzen/Gras* + Zahn	Eine 艹 Pflanze zeigt ihre "牙 Zähne": eine 芽 Knospe, ein Sproß.	發芽 = fā yá = keimen, sprießen // 豆芽 = dòu yá = Sojabohnenkeim
0938-@	呀	呀	yā	ah!, oh!	-ah!	Mund (口) + Zahn (牙)	Mund + Zahn	Wenn man "呀 Ah" sagt, ist der 口 Mund auf und die 牙 Zähne sind zu sehen. (呀 ist äquivalent zu 啊 und wird nach einem Vokal verwendet.)	哎呀 = āi yā = Ach! // 我的媽呀 = wǒ de mā yā = meine Güte! // 啊呀 = ā yā = meine Güte!
0939-1	关				Fackelträger*			Zwei 廾 Hände halten ein 火 Feuer oder eine Fackel: ein 关 Fackelträger.	
0939-@	送	送	sòng	begleiten, schenken, schicken, senden	begleiten/schicken	Fackelträger* (关) + rasch-gehen* (辵辶)	Fackelträger* + rasch-gehen*	Wenn man 辶 geht, um jemanden hinauszu- 送 begleiten, trägt man eine 关 Fackel, um den dunklen Weg auszuleuchten.	歡送 = huān sòng = sich voneinander verabschieden // 送行 = sòng xíng = zum Abschied begleiten // 送去 = sòng qù = senden, liefern, mitnehmen (im Auto)
0940-@	炒	炒	chǎo	braten, anbraten	anbraten	Feuer (火灬) + wenig (少)	Feuer + wenig	Mit 少 wenig 火 Feuer braten: kurz 炒 anbraten, 炒 sautieren.	炒白菜 = chǎo bái cài = kurzgebratener Weißkohl // 炒蛋 = chǎo dàn = Rührei // 炒飯 = chǎo fàn = gebratener Reis
0941-@	鈔	钞	chāo	Banknote, Papiergeld	Banknote	Gold/Metall (金) + wenig (少)	Gold/Metall + wenig	Wenn 少 wenig 金 Gold zur Geldherstellung zur Verfügung steht, werden 鈔 Banknoten gedruckt.	鈔票 = chāo piào = Geldschein, Banknote
0942-@	省	省	shěng	sparen, Provinz	sparen/Provinz	wenig (少) + Auge (目)	wenig + Auge	Zuerst mit den 目 Augen analysieren - dann 少 weniger Geld ausgeben: 省 sparen. Eine (entfernte) 省 Provinz steht 少 weniger unter der 目 Beobachtung der Zentralregierung.	節省 = jié shěng = sparsam; sparen // 省得 = shěng de = sich etwas ersparen // 省城 = shěng chéng = Provinzhauptstadt
0943-@	沙	沙	shā	Sand, [Zeichen zur Lautbildung in Fremdnamen]	Sand/sa-Laut	Wasser (水氵) + wenig (少)	Wasser + wenig	Wo viel 沙 Sand ist (z. B. in der Wüste), ist 少 wenig 氵 Wasser.	沙發 = shā fā = Sofa // 沙漠 = shā mò = Wüste // 沙子 = shā zi = Sand, Grieß
0944-@	妙	妙	miào	herrlich, wunderbar	wunderbar	Frau (女) + wenig (少)	Frau + wenig	Eine 女 Frau, 少 wenige Jahre alt - also 少jung - ist 妙 wunderbar, 妙 herrlich.	巧妙 = qiǎo miào = geschickt, gewandt; Genialität; Gewandtheit // 美妙 = měi miào = wunderschön, herrlich // 奇妙 = qí miào = wunderbar, faszinierend
0945-@	抄	抄	chāo	kopieren, abschreiben; wegnehmen, beschlagnahmen	kopieren/wegnehmen	Hand (手扌) + wenig (少)	Hand + wenig	Mit den 扌 Händen etwas 抄 kopieren, und die Kopie ist meist 少 wenig wert. Eine Kopie ist auch eine Art 抄 Wegnahme.	抄寫 = chāo xiě = abschreiben, ins Reine schreiben // 抄家 = chāo jiā = eine Wohnung durchsuchen // 抄件 = chāo jiàn = Kopie, Abschrift
0946-@	紗	纱	shā	Garn	Garn	Seide* (糸) + wenig (少)	Seide* + wenig	紗 Garn ist langes, 少 wenig dickes Gebilde aus einer oder mehreren Fasern, z. B. 糸 Seide.	棉紗 = mián shā = Baumwollgarn // 紡紗 = fǎng shā = (Garn) spinnen
0947-@	吵	吵	chǎo	lärmen, streiten	lärmen	Mund (口) + wenig (少)	Mund + wenig	Mit dem 口 Mund 吵 lärmen und streiten -  mit 少 wenig Rücksicht auf die Umgebung.	吵包子 = chǎo bāo zi = streitsüchtige Person // 爭吵 = zhēng chǎo = Streit, Krach, Unfriede; streiten // 吵架 = chǎo jià = sich streiten, zanken
0948-@	秒	秒	miǎo	Sekunde	Sekunde	Getreide* (禾) + wenig (少)	Getreide* + wenig	Genau wie eine 秒 Ähre (ursprüngliche Bedeutung) "少 wenig 禾 Getreide" ist, ist eine 秒 Sekunde sehr wenig Zeit.	分秒不差 = fèn miǎo bù chā = sehr pünktlich // 分秒必爭 = fēn miǎo bì zhēng = keine Zeit verlieren dürfen; jede Sekunde zählt [Redensart] // 秒鐘 = miǎo zhōng = Sekunde
0949-@	企	企	qǐ	hoffen, sich sehnen nach	hoffen/sich-sehnen	Person (人亻) + Fußabdruck/stoppen (止)	Person + Fußabdruck/stoppen	Eine 人 Person steht auf den 止 Fuß- oder Zehen-Spitzen und schaut auf etwas, das sie sich 企 erhofft, 企 ersehnt.	企圖 = qǐ tú = versuchen, die Absicht haben // 企業 = qǐ yè = Betrieb, Unternehmen // 企求 = qǐ qiú = wünschen, begehren
0950-@	址	址	zhǐ	(Ort, Adresse)	Ort/Adresse	Erde (土) + Fußabdruck/stoppen (止)	Erde + Fußabdruck/stoppen	Ein 址 Ort auf der 土 Erde, wo die Füße 止 stoppen: eine 址 Adresse.	地址 = dì zhǐ = Adresse, Anschrift // 舊址 = jiù zhǐ = alte Adresse, ehemalige Anschrift // 遺址 = yí zhǐ = Ruine
0951-@	扯	扯	chě	ziehen, reißen	ziehen/reißen	Hand (手扌) + Fußabdruck/stoppen (止)	Hand + Fußabdruck/stoppen	Mit dem Füßen 止 stoppen und fest stehen, dann mit den 扌 Händen 扯 ziehen oder 扯 reißen.	拉扯 = lā chě = zerren, ziehen; (ein Kind) aufziehen, weiterhelfen // 胡扯 = hú chě = herumlabern // 牽扯 = qiān chě = zur Folge haben, hineinziehen, verwickeln
0952-@	趾	趾	zhǐ	(Fußzehe)	Fußzehe	Fuß (足) + Fußabdruck/stoppen (止)	Fuß + Fußabdruck/stoppen	Der Teil des 足 Fußes, der zuerst 止 stoppt (bevor der Rest des Fußes stoppt): die 趾 Fußzehen.	趾頭 = zhǐ tóu = Zehe // 趾甲 = zhǐ jiǎ = Zehennagel // 腳趾 = jiǎo zhǐ = Zehe
0953-@	拉	拉	lā	ziehen, schleppen, zerschneiden	ziehen/schleppen	Hand (手扌) + stehen (立)	Hand + stehen	Fest 立 stehen und die 扌 Hand verwenden: 拉 ziehen, schleppen.	阿拉伯語 = ā lā bó yǔ = Arabisch, arabische Sprache // 半拉 = bàn lā = halb [umgangssprachl.] // 拉去 = lā qù = wegziehen
0954-@	垃	垃	1) lā / 2) lè	1) (Abfall) / 2) (Abfall)	Abfall	Erde (土) + stehen (立)	Erde + stehen	Der rechte Teil des Zeichen 立 sieht wie eine 垃 Abfall-Tonne aus; der 垃 Abfall wird oft einfach in der 土 Erde deponiert. In Taiwan ist die Aussprache lè, sonst lā.	垃圾桶 = lā jī tǒng = Abfalleimer [VR China] // 垃圾 = lā jī = Abfall [VR China]
0955-@	圾	圾	1) jī / 2) sè	1) (Abfall) / 2) (Abfall)	Müll	Erde (土) + erreichen (及)	Erde + erreichen	Nicht nutzbare Dinge 及 erreichen als 圾 Müll die 土 Erde. In Taiwan ist die Aussprache sè, sonst jī.	垃圾桶 = lā jī tǒng = Abfalleimer [VR China] // 垃圾 = lā jī = Abfall [VR China]
0956-@	吸	吸	xī	atmen, aufsaugen	einatmen	Mund (口) + erreichen (及)	Mund + erreichen	Beim 吸 Einatmen 及 erreicht die Luft den 口 Mund.	吸引 = xī yǐn = faszinieren, anziehen // 呼吸 = hū xī = atmen // 吸收 = xī shōu = in sich aufnehmen
0957-@	章	章	zhāng	Abschnitt, [ZEW]	Kapitel/Abschnitt	Klang (音) + zehn (十)	Klang + zehn	十 Zehn 音 Klänge bilden einen Musik- 章 Abschnitt. Auch für Literatur: ein Vers, ein 章 Kapitel einer Dichtung, usw.	文章 = wén zhāng = Aufsatz, Artikel // 章程 = zhāng chéng = Satzung, Statut // 規章 = guī zhāng = Regeln, Vorschriften, Bestimmungen
0958-@	啦	啦	la	[Ausrufepartikel (Zusammenziehung von le und a)]	beendet-zweifelnd	Mund (口) + ziehen/schleppen (拉)	Mund + ziehen/schleppen	Ein 口 Ausruf, ähnlich 拉 lā (ziehen) ausgesprochen, der "了 le" plus "啊 a"  entspricht und nach Vokalen verwendet wird. 啦 drückt auch Zweifel über etwas Beendetes aus.	他真來啦？ = tā zhēn lái la ? = ist er wirklich gekommen?
0959-@	檯	台	tái	(Tisch)	Tisch/Kasse	Baum/Holz (木) + Plattform/Bühne (臺)	Baum/Holz + Plattform/Bühne	Etwas aus 木 Holz, das - wie eine 臺 Plattform oder Bühne - erhöht ist: ein 檯 Tisch, eine 檯 Kasse.	球檯 = qiú tái = Tisch für Ballspiele // 寫字檯 = xiě zì tái = Schreibtisch // 乒乓球檯 = pīng pāng qiú tái = Tischtennis-Tisch
0960-1	台				ausatmen/loslassen*			Der 口 Mund 已 atmet aus (已 verändert zu 厶): 台 ausatmen, 台 loslassen. Dieses Zeichen wird auch in Taiwan oft als vereinfachte Variante von "臺 Plattform/Bühne" verwendet; siehe Zeichen 臺.	
0960-@	颱	台	tái	(Taifun)	Taifun	Wind (風) + ausatmen/loslassen* (台)	Wind + ausatmen/loslassen*	風 Wind, wie ein richtig starkes 台 Ausatmen, bzw. Wind, der 台 losgelassen wird: ein 颱 Taifun. Andere Interpretation: der 颱 Taifun ist ein häufiger, starker  風 Wind über 台 Tai-wan.	颱風 = tái fēng = Taifun // 颱風眼 = tái fēng yǎn = das "Auge" des Taifuns // 防颱 = fáng tái = Vorkehrungen gegen einen Taifun treffen
0961-@	始	始	shǐ	(Anfang)	Anfang	Frau (女) + ausatmen/loslassen* (台)	Frau + ausatmen/loslassen*	Wenn eine 女 Frau ihr Neugeborenes 台 losläßt, und das Baby zum ersten Mal 台 ausatmet, ist dies der 始 Anfang eines neuen Lebens.	開始 = kāi shǐ = anfangen, beginnen etw. zu tun; Beginn // 始終 = shǐ zhōng = die ganze Zeit, von Anfang bis Ende // 始皇帝 = shǐ huáng dì = der erster Kaiser von China (259-210 vor. Chr., Qin-Dynastie)
